疏松等级,日期,最高气温,最低气温,天气,氢含量
0,2018/10/1,30,20,晴,
0,2018/10/2,28,19,多云,
0,2018/10/3,29,19,晴,
0,2018/10/4,30,20,晴,
0,2018/10/5,31,20,多云,
0,2018/10/6,31,20,晴,
0,2018/10/7,29,20,晴,
0,2018/10/8,29,20,晴,
0,2018/10/9,30,22,多云,
0,2018/10/10,25,19,小雨,
0,2018/10/12,23,17,阴,
0,2018/10/13,23,19,多云,
0,2018/10/14,21,19,小雨,
0,2018/10/15,23,19,小雨,
0,2018/10/16,24,18,小雨,
0,2018/10/17,21,17,小雨,
0,2018/10/18,23,18,阴,
0,2018/10/19,23,18,阴,
0,2018/10/20,23,17,多云,
0,2018/10/21,24,19,阴,
0,2018/10/22,25,19,小雨,
0,2018/10/23,25,20,阴,
0,2018/10/24,24,19,多云,
0,2018/10/25,25,19,阴,
0,2018/10/26,27,19,小雨,
0,2018/10/27,26,13,阴,
0,2018/10/28,25,13,晴,
0,2018/10/29,26,15,多云,
0,2018/10/30,25,16,多云,
0,2018/10/31,24,15,多云,
0,2018/9/1,32,25,雷阵雨,
0,2018/9/2,34,25,多云,
0,2018/9/3,35,27,多云,
0,2018/9/4,36,26,雷阵雨,
0,2018/9/5,33,26,雷阵雨,
0,2018/9/6,34,26,雷阵雨,
0,2018/9/10,28,23,多云,
0,2018/9/11,28,24,小雨,
0,2018/9/12,31,25,多云,
0,2018/9/13,32,26,多云,
0,2018/9/14,32,26,多云,
0,2018/9/16,31,26,小雨,
0,2018/9/17,34,26,雷阵雨,
0,2018/9/18,33,24,多云,
0,2018/9/19,33,25,多云,
0,2018/9/20,34,25,多云,
0,2018/9/21,33,26,小雨,
0,2018/9/22,33,25,阴,
0,2018/9/23,31,23,中雨,
0,2018/9/24,28,22,阴,
0,2018/9/25,28,20,晴,
0,2018/9/26,30,20,晴,
0,2018/9/27,30,21,晴,
0,2018/9/28,31,20,晴,
0,2018/9/29,32,19,晴,
0,2018/9/30,31,19,晴,
0,2018/8/1,35,26,雷阵雨,
0,2018/8/2,33,26,小雨,
0,2018/8/3,33,26,小雨,
0,2018/8/4,33,26,小雨,
0,2018/8/5,34,27,小雨,
0,2018/8/6,34,27,小雨,
0,2018/8/7,35,26,多云,
0,2018/8/8,36,25,多云,
0,2018/8/9,36,25,多云,
0,2018/8/10,37,25,多云,
0,2018/8/11,36,26,多云,
0,2018/8/12,38,27,多云,
0,2018/8/13,36,27,多云,
0,2018/8/14,31,26,大雨,
0,2018/8/15,31,25,中雨,
0,2018/8/16,35,26,阴,
0,2018/8/17,35,27,多云,
0,2018/8/18,33,26,雷阵雨,
0,2018/8/19,32,26,中雨,
0,2018/8/20,33,26,雷阵雨,
0,2018/8/21,35,26,多云,
0,2018/8/22,34,25,多云,
0,2018/8/23,35,26,多云,
0,2018/8/24,30,25,大雨,
0,2018/8/25,29,24,大雨,
0,2018/8/26,30,26,大雨,
0,2018/8/27,31,25,中雨,
0,2018/8/28,29,25,中雨,
0,2018/8/29,27,24,大雨,
0,2018/8/30,25,24,大雨,
0,2018/8/31,28,24,中雨,
0,2018/7/1,32,25,小雨,
0,2018/7/2,33,26,雷阵雨,
0,2018/7/3,33,26,小雨,
0,2018/7/4,35,28,多云,
0,2018/7/5,35,28,阴,
0,2018/7/6,33,27,雷阵雨,
0,2018/7/7,32,26,小雨,
0,2018/7/8,33,26,小雨,
0,2018/7/9,33,25,多云,
0,2018/7/10,35,26,多云,
0,2018/7/11,28,23,大暴雨,
0,2018/7/12,33,26,多云,
0,2018/7/13,32,26,小雨,
0,2018/7/14,32,26,多云,
0,2018/7/15,32,25,阴,
0,2018/7/16,31,27,小雨,
0,2018/7/17,32,26,多云,
0,2018/7/18,33,26,多云,
0,2018/7/19,32,25,阴,
0,2018/7/20,33,25,多云,
0,2018/7/21,34,26,多云,
0,2018/7/22,35,26,雷阵雨,
0,2018/7/23,32,26,中雨,
0,2018/7/24,35,26,雷阵雨,
0,2018/7/25,35,26,多云,
0,2018/7/26,35,27,多云,
0,2018/7/27,35,28,雷阵雨,
0,2018/7/28,35,27,多云,
0,2018/7/29,35,27,多云,
0,2018/7/30,36,27,多云,
0,2018/7/31,37,27,雷阵雨,
0,2018/6/1,22,20,小雨,
0,2018/6/2,27,21,多云,
0,2018/6/3,29,23,多云,
0,2018/6/4,30,24,多云,
0,2018/6/5,30,25,小雨,
0,2018/6/6,29,23,小雨,
0,2018/6/7,31,24,阴,
0,2018/6/8,30,25,小雨,
0,2018/6/9,31,24,阴,
0,2018/6/10,29,24,小雨,
0,2018/6/11,31,22,多云,
0,2018/6/12,31,23,多云,
0,2018/6/13,28,22,阵雨,
0,2018/6/14,26,20,多云,
0,2018/6/15,31,21,多云,
0,2018/6/16,31,21,多云,
0,2018/6/17,29,23,小雨,
0,2018/6/18,26,22,中雨,
0,2018/6/19,32,25,雷阵雨,
0,2018/6/20,33,25,雷阵雨,
0,2018/6/21,30,22,大雨,
0,2018/6/22,30,24,中雨,
0,2018/6/23,29,25,小雨,
0,2018/6/24,33,25,多云,
0,2018/6/25,35,25,多云,
0,2018/6/26,36,26,多云,
0,2018/6/27,36,26,多云,
0,2018/6/28,36,27,多云,
0,2018/6/29,35,27,小雨,
0,2018/6/30,33,26,中雨,
0,2018/5/1,31,23,阴,
0,2018/5/2,32,19,小雨,
0,2018/5/3,20,16,小雨,
